Ensembl,logFC,FDR,Symbol,Genename,Chromosome
ENSG00000158195,1.312856082,1.66E-07,WASF2,WASP family member 2,1
ENSG00000120437,-1.357413425,1.77E-07,ACAT2,acetyl-CoA acetyltransferase 2,6
ENSG00000141959,1.301240489,1.82E-07,PFKL,"phosphofructokinase, liver type",21
ENSG00000265972,1.532025133,1.82E-07,TXNIP,thioredoxin interacting protein,1
ENSG00000149489,1.554027764,1.93E-07,ROM1,retinal outer segment membrane protein 1,11
ENSG00000160183,2.337847466,2.52E-07,TMPRSS3,transmembrane serine protease 3,21
ENSG00000127507,2.334024693,2.88E-07,ADGRE2,adhesion G protein-coupled receptor E2,19
ENSG00000129667,2.114464948,3.02E-07,RHBDF2,rhomboid 5 homolog 2,17
ENSG00000160298,1.642815887,3.27E-07,C21orf58,chromosome 21 open reading frame 58,21
ENSG00000159314,1.556388499,3.27E-07,ARHGAP27,Rho GTPase activating protein 27,17
ENSG00000124942,1.209048254,3.27E-07,AHNAK,AHNAK nucleoprotein,11
ENSG00000108798,2.410665073,3.32E-07,ABI3,ABI family member 3,17
ENSG00000144908,1.285940811,3.32E-07,ALDH1L1,aldehyde dehydrogenase 1 family member L1,3
ENSG00000135899,1.313882574,3.32E-07,SP110,SP110 nuclear body protein,2
ENSG00000198959,1.705026336,3.40E-07,TGM2,transglutaminase 2,20
ENSG00000005844,1.935632889,3.82E-07,ITGAL,integrin subunit alpha L,16
ENSG00000197249,2.987445233,3.86E-07,SERPINA1,serpin family A member 1,14
ENSG00000197599,2.005031952,3.98E-07,CCDC154,coiled-coil domain containing 154,16
ENSG00000244731,2.537197302,4.05E-07,C4A,complement C4A (Rodgers blood group),6
ENSG00000159403,1.592207442,4.11E-07,C1R,complement C1r,12
ENSG00000148734,1.583719376,4.47E-07,NPFFR1,neuropeptide FF receptor 1,10
ENSG00000077238,2.030780325,5.01E-07,IL4R,interleukin 4 receptor,16
ENSG00000142512,1.737211347,5.15E-07,SIGLEC10,sialic acid binding Ig like lectin 10,19
ENSG00000159189,2.670805351,5.15E-07,C1QC,complement C1q C chain,1
ENSG00000142207,0.893526695,5.24E-07,URB1,URB1 ribosome biogenesis homolog,21
ENSG00000166979,1.325753629,5.40E-07,EVA1C,eva-1 homolog C,21
ENSG00000143382,1.973754229,5.42E-07,ADAMTSL4,ADAMTS like 4,1
ENSG00000186480,-1.110864258,5.67E-07,INSIG1,insulin induced gene 1,7
ENSG00000142347,1.573324177,5.88E-07,MYO1F,myosin IF,19
ENSG00000160199,1.018293132,6.08E-07,PKNOX1,PBX/knotted 1 homeobox 1,21
ENSG00000159216,2.077108502,6.08E-07,RUNX1,RUNX family transcription factor 1,21
ENSG00000140022,1.117489618,6.08E-07,STON2,stonin 2,14
ENSG00000120738,-1.205875802,6.08E-07,EGR1,early growth response 1,5
ENSG00000160179,1.076727614,6.11E-07,ABCG1,ATP binding cassette subfamily G member 1,21
ENSG00000185885,1.472377986,7.13E-07,IFITM1,interferon induced transmembrane protein 1,11
ENSG00000160305,1.055508414,7.73E-07,DIP2A,disco interacting protein 2 homolog A,21
ENSG00000164600,-2.236741984,8.31E-07,NEUROD6,neuronal differentiation 6,7
ENSG00000103335,1.659200487,8.97E-07,PIEZO1,piezo type mechanosensitive ion channel component 1,16
ENSG00000154803,1.052467242,8.98E-07,FLCN,folliculin,17
ENSG00000239857,1.94028167,8.98E-07,GET4,guided entry of tail-anchored proteins factor 4,7
ENSG00000145623,1.548107828,9.57E-07,OSMR,oncostatin M receptor,5
ENSG00000142185,1.240631118,1.11E-06,TRPM2,transient receptor potential cation channel subfamily M member 2,21
ENSG00000129219,1.369047739,1.15E-06,PLD2,phospholipase D2,17
ENSG00000146535,1.339909095,1.15E-06,GNA12,G protein subunit alpha 12,7
ENSG00000100767,1.268855922,1.20E-06,PAPLN,"papilin, proteoglycan like sulfated glycoprotein",14
ENSG00000102287,1.799531112,1.29E-06,GABRE,gamma-aminobutyric acid type A receptor epsilon subunit,X
ENSG00000173801,1.663937917,1.35E-06,JUP,junction plakoglobin,17
ENSG00000147113,1.400274139,1.36E-06,DIPK2B,divergent protein kinase domain 2B,X
ENSG00000026297,1.134677111,1.39E-06,RNASET2,ribonuclease T2,6
ENSG00000142798,2.057007387,1.39E-06,HSPG2,heparan sulfate proteoglycan 2,1
ENSG00000119535,1.601809555,1.47E-06,CSF3R,colony stimulating factor 3 receptor,1
ENSG00000100439,1.384388736,1.61E-06,ABHD4,abhydrolase domain containing 4,14
ENSG00000149499,1.58088172,1.61E-06,EML3,EMAP like 3,11
ENSG00000137491,1.294489755,1.61E-06,SLCO2B1,solute carrier organic anion transporter family member 2B1,11
ENSG00000164211,-1.161300749,1.61E-06,STARD4,StAR related lipid transfer domain containing 4,5
ENSG00000160193,1.242614804,1.62E-06,WDR4,WD repeat domain 4,21
ENSG00000067064,-1.005589228,1.62E-06,IDI1,isopentenyl-diphosphate delta isomerase 1,10
ENSG00000151651,1.731265159,1.69E-06,ADAM8,ADAM metallopeptidase domain 8,10
ENSG00000106948,1.271405468,1.69E-06,AKNA,AT-hook transcription factor,9
ENSG00000002933,2.129584593,1.69E-06,TMEM176A,transmembrane protein 176A,7
ENSG00000156304,0.811238197,1.77E-06,SCAF4,SR-related CTD associated factor 4,21
ENSG00000175727,1.166463854,1.77E-06,MLXIP,MLX interacting protein,12
ENSG00000140497,1.346125814,1.78E-06,SCAMP2,secretory carrier membrane protein 2,15
ENSG00000086730,1.838367634,1.78E-06,LAT2,linker for activation of T cells family member 2,7
ENSG00000213626,-1.26759738,1.78E-06,LBH,LBH regulator of WNT signaling pathway,2
ENSG00000186517,1.780043128,2.24E-06,ARHGAP30,Rho GTPase activating protein 30,1
ENSG00000265590,1.280829388,2.38E-06,C21orf59-TCP10L,C21orf59-TCP10L readthrough,21
ENSG00000142156,1.429763089,2.38E-06,COL6A1,collagen type VI alpha 1 chain,21
ENSG00000168056,1.296466747,2.38E-06,LTBP3,latent transforming growth factor beta binding protein 3,11
ENSG00000144857,1.131718882,2.39E-06,BOC,"BOC cell adhesion associated, oncogene regulated",3
ENSG00000120896,1.584411604,2.65E-06,SORBS3,sorbin and SH3 domain containing 3,8
ENSG00000183778,1.115018125,2.71E-06,B3GALT5,"beta-1,3-galactosyltransferase 5",21
ENSG00000160299,1.147609988,2.73E-06,PCNT,pericentrin,21
ENSG00000087116,1.396097594,2.77E-06,ADAMTS2,ADAM metallopeptidase with thrombospondin type 1 motif 2,5
ENSG00000187796,1.969290868,3.15E-06,CARD9,caspase recruitment domain family member 9,9
ENSG00000183090,-1.665862898,3.15E-06,FREM3,FRAS1 related extracellular matrix 3,4
ENSG00000158710,1.376049012,3.51E-06,TAGLN2,transgelin 2,1
ENSG00000119403,1.452690515,3.59E-06,PHF19,PHD finger protein 19,9
ENSG00000074047,1.561342361,3.60E-06,GLI2,GLI family zinc finger 2,2
ENSG00000157353,1.199105966,3.65E-06,FCSK,fucose kinase,16
ENSG00000129566,1.186487551,3.71E-06,TEP1,telomerase associated protein 1,14
ENSG00000213654,1.945141099,3.82E-06,GPSM3,G protein signaling modulator 3,6
ENSG00000076944,1.792943056,3.92E-06,STXBP2,syntaxin binding protein 2,19
ENSG00000139318,-1.171280379,4.06E-06,DUSP6,dual specificity phosphatase 6,12
ENSG00000066336,2.051473631,4.08E-06,SPI1,Spi-1 proto-oncogene,11
ENSG00000119699,1.401660436,4.26E-06,TGFB3,transforming growth factor beta 3,14
ENSG00000134757,-2.219766854,4.36E-06,DSG3,desmoglein 3,18
ENSG00000197324,1.478748425,4.43E-06,LRP10,LDL receptor related protein 10,14
ENSG00000184371,1.671116932,4.56E-06,CSF1,colony stimulating factor 1,1
ENSG00000239306,0.962730253,4.57E-06,RBM14,RNA binding motif protein 14,11
ENSG00000140798,-1.489382181,4.65E-06,ABCC12,ATP binding cassette subfamily C member 12,16
ENSG00000103742,1.30135982,4.80E-06,IGDCC4,immunoglobulin superfamily DCC subclass member 4,15
ENSG00000103710,1.60510055,4.80E-06,RASL12,RAS like family 12,15
ENSG00000120875,-1.817406041,5.16E-06,DUSP4,dual specificity phosphatase 4,8
ENSG00000137462,2.174059245,5.31E-06,TLR2,toll like receptor 2,4
ENSG00000168309,1.304149182,5.31E-06,FAM107A,family with sequence similarity 107 member A,3
ENSG00000079308,1.374439252,5.31E-06,TNS1,tensin 1,2
ENSG00000112972,-1.587580015,5.43E-06,HMGCS1,3-hydroxy-3-methylglutaryl-CoA synthase 1,5
ENSG00000166987,1.58971013,5.46E-06,MBD6,methyl-CpG binding domain protein 6,12
ENSG00000196421,1.830558266,5.66E-06,C20orf204,chromosome 20 open reading frame 204,20
ENSG00000159110,1.042130858,5.68E-06,IFNAR2,interferon alpha and beta receptor subunit 2,21
ENSG00000185033,1.147581755,5.68E-06,SEMA4B,semaphorin 4B,15
ENSG00000138964,1.664820013,5.75E-06,PARVG,parvin gamma,22
ENSG00000122122,1.879460515,6.08E-06,SASH3,SAM and SH3 domain containing 3,X
ENSG00000101276,1.871535679,6.08E-06,SLC52A3,solute carrier family 52 member 3,20
ENSG00000138660,-1.025870936,6.08E-06,AP1AR,adaptor related protein complex 1 associated regulatory protein,4
ENSG00000178623,2.144766573,6.35E-06,GPR35,G protein-coupled receptor 35,2
ENSG00000182871,2.095212666,6.50E-06,COL18A1,collagen type XVIII alpha 1 chain,21
ENSG00000123545,-1.454152478,6.77E-06,NDUFAF4,NADH:ubiquinone oxidoreductase complex assembly factor 4,6
ENSG00000175309,1.128324804,7.04E-06,PHYKPL,5-phosphohydroxy-L-lysine phospho-lyase,5
ENSG00000173638,1.879972515,7.67E-06,SLC19A1,solute carrier family 19 member 1,21
ENSG00000172115,-1.114036029,8.10E-06,CYCS,"cytochrome c, somatic",7
ENSG00000107719,1.378714031,8.26E-06,PALD1,phosphatase domain containing paladin 1,10
ENSG00000160216,0.850445206,8.39E-06,AGPAT3,1-acylglycerol-3-phosphate O-acyltransferase 3,21
ENSG00000127418,1.263303772,8.39E-06,FGFRL1,fibroblast growth factor receptor like 1,4
ENSG00000181523,1.236287396,8.77E-06,SGSH,N-sulfoglucosamine sulfohydrolase,17
ENSG00000167895,2.089881301,8.77E-06,TMC8,transmembrane channel like 8,17
ENSG00000053918,1.859415543,9.28E-06,KCNQ1,potassium voltage-gated channel subfamily Q member 1,11
ENSG00000132274,0.921725125,9.28E-06,TRIM22,tripartite motif containing 22,11
ENSG00000135063,1.087317665,9.28E-06,FAM189A2,family with sequence similarity 189 member A2,9
ENSG00000205517,1.843258255,9.49E-06,RGL3,ral guanine nucleotide dissociation stimulator like 3,19
ENSG00000283199,1.771003098,9.76E-06,C13orf46,chromosome 13 open reading frame 46,13
ENSG00000006468,-1.071227826,1.08E-05,ETV1,ETS variant transcription factor 1,7
ENSG00000173369,2.63162345,1.10E-05,C1QB,complement C1q B chain,1
ENSG00000160712,1.066288388,1.12E-05,IL6R,interleukin 6 receptor,1
ENSG00000147419,-0.970036657,1.14E-05,CCDC25,coiled-coil domain containing 25,8
ENSG00000196218,0.944316883,1.17E-05,RYR1,ryanodine receptor 1,19
ENSG00000082074,1.597938683,1.21E-05,FYB1,FYN binding protein 1,5
ENSG00000130309,1.27167696,1.23E-05,COLGALT1,collagen beta(1-O)galactosyltransferase 1,19
ENSG00000100368,1.833775996,1.24E-05,CSF2RB,colony stimulating factor 2 receptor beta common subunit,22
ENSG00000076928,1.444679286,1.27E-05,ARHGEF1,Rho guanine nucleotide exchange factor 1,19
ENSG00000102886,2.287191055,1.27E-05,GDPD3,glycerophosphodiester phosphodiesterase domain containing 3,16
ENSG00000111676,1.173057552,1.30E-05,ATN1,atrophin 1,12
ENSG00000184787,0.695422435,1.30E-05,UBE2G2,ubiquitin conjugating enzyme E2 G2,21
ENSG00000104814,1.566388962,1.30E-05,MAP4K1,mitogen-activated protein kinase kinase kinase kinase 1,19
ENSG00000171051,2.495070877,1.34E-05,FPR1,formyl peptide receptor 1,19
ENSG00000143772,1.302337859,1.34E-05,ITPKB,inositol-trisphosphate 3-kinase B,1
ENSG00000100297,1.422394367,1.49E-05,MCM5,minichromosome maintenance complex component 5,22
ENSG00000101247,-0.87622659,1.49E-05,NDUFAF5,NADH:ubiquinone oxidoreductase complex assembly factor 5,20
ENSG00000187609,1.446683195,1.49E-05,EXD3,exonuclease 3'-5' domain containing 3,9
ENSG00000184203,-1.250226012,1.50E-05,PPP1R2,protein phosphatase 1 regulatory inhibitor subunit 2,3
ENSG00000061273,1.244849774,1.52E-05,HDAC7,histone deacetylase 7,12
ENSG00000100362,-1.965857017,1.54E-05,PVALB,parvalbumin,22
ENSG00000160285,1.274776533,1.54E-05,LSS,lanosterol synthase,21
ENSG00000242220,1.308417719,1.54E-05,TCP10L,t-complex 10 like,21
ENSG00000103148,1.285423971,1.54E-05,NPRL3,"NPR3 like, GATOR1 complex subunit",16
ENSG00000168071,1.248779512,1.54E-05,CCDC88B,coiled-coil domain containing 88B,11
ENSG00000213445,1.768566148,1.54E-05,SIPA1,signal-induced proliferation-associated 1,11
ENSG00000153012,-1.268274321,1.54E-05,LGI2,leucine rich repeat LGI family member 2,4
ENSG00000188729,-2.362843814,1.54E-05,OSTN,osteocrin,3
ENSG00000163840,1.090538336,1.60E-05,DTX3L,deltex E3 ubiquitin ligase 3L,3
ENSG00000136068,0.84801264,1.62E-05,FLNB,filamin B,3
ENSG00000160194,0.803401806,1.73E-05,NDUFV3,NADH:ubiquinone oxidoreductase subunit V3,21
ENSG00000155090,-1.066482066,1.73E-05,KLF10,Kruppel like factor 10,8
ENSG00000234745,1.101955702,1.79E-05,HLA-B,"major histocompatibility complex, class I, B",6
ENSG00000101096,1.114010046,1.83E-05,NFATC2,nuclear factor of activated T cells 2,20
ENSG00000100504,1.195320954,1.83E-05,PYGL,glycogen phosphorylase L,14
ENSG00000182578,1.479529058,1.83E-05,CSF1R,colony stimulating factor 1 receptor,5
ENSG00000100292,1.919362299,1.91E-05,HMOX1,heme oxygenase 1,22
ENSG00000168874,1.707490309,1.99E-05,ATOH8,atonal bHLH transcription factor 8,2
ENSG00000184557,2.779642865,2.06E-05,SOCS3,suppressor of cytokine signaling 3,17
ENSG00000111262,-1.150922209,2.06E-05,KCNA1,potassium voltage-gated channel subfamily A member 1,12
ENSG00000243646,1.463387668,2.09E-05,IL10RB,interleukin 10 receptor subunit beta,21
ENSG00000180448,1.688368192,2.09E-05,ARHGAP45,Rho GTPase activating protein 45,19
ENSG00000168961,1.723528563,2.10E-05,LGALS9,galectin 9,17
ENSG00000139567,1.345978527,2.14E-05,ACVRL1,activin A receptor like type 1,12
ENSG00000174132,-1.072718921,2.14E-05,FAM174A,family with sequence similarity 174 member A,5
ENSG00000185507,1.789978288,2.22E-05,IRF7,interferon regulatory factor 7,11
ENSG00000130589,2.214029258,2.23E-05,HELZ2,helicase with zinc finger 2,20
ENSG00000224389,2.116934354,2.23E-05,C4B,complement C4B (Chido blood group),6
ENSG00000133466,1.153620762,2.32E-05,C1QTNF6,C1q and TNF related 6,22
ENSG00000130518,1.291501763,2.32E-05,IQCN,IQ motif containing N,19
ENSG00000103035,-0.846615506,2.39E-05,PSMD7,"proteasome 26S subunit, non-ATPase 7",16
ENSG00000115540,-1.252232695,2.40E-05,MOB4,"MOB family member 4, phocein",2
ENSG00000128815,1.429068493,2.43E-05,WDFY4,WDFY family member 4,10
ENSG00000157538,0.700368708,2.53E-05,VPS26C,VPS26 endosomal protein sorting factor C,21
ENSG00000126561,1.578299308,2.53E-05,STAT5A,signal transducer and activator of transcription 5A,17
ENSG00000099998,1.655139664,2.62E-05,GGT5,gamma-glutamyltransferase 5,22
ENSG00000122877,-1.564993097,2.65E-05,EGR2,early growth response 2,10
ENSG00000172936,1.211169481,2.65E-05,MYD88,MYD88 innate immune signal transduction adaptor,3
ENSG00000105639,1.421941815,2.66E-05,JAK3,Janus kinase 3,19
ENSG00000163220,2.418296777,2.67E-05,S100A9,S100 calcium binding protein A9,1
ENSG00000165507,2.502878344,2.67E-05,DEPP1,DEPP1 autophagy regulator,10
ENSG00000104897,1.182377452,2.68E-05,SF3A2,splicing factor 3a subunit 2,19
ENSG00000161692,1.089664538,2.73E-05,DBF4B,DBF4 zinc finger B,17
ENSG00000115963,-1.02574901,2.73E-05,RND3,Rho family GTPase 3,2
ENSG00000130702,1.478582058,2.78E-05,LAMA5,laminin subunit alpha 5,20
ENSG00000162630,-1.349081551,2.78E-05,B3GALT2,"beta-1,3-galactosyltransferase 2",1
ENSG00000086717,-1.57254155,2.79E-05,PPEF1,protein phosphatase with EF-hand domain 1,X
ENSG00000187193,1.484563948,2.85E-05,MT1X,metallothionein 1X,16
ENSG00000164794,-1.284491048,2.88E-05,KCNV1,potassium voltage-gated channel modifier subfamily V member 1,8
ENSG00000111331,1.068740705,2.89E-05,OAS3,2'-5'-oligoadenylate synthetase 3,12
ENSG00000025708,2.672796179,2.92E-05,TYMP,thymidine phosphorylase,22
ENSG00000153822,-1.417552447,2.92E-05,KCNJ16,potassium inwardly rectifying channel subfamily J member 16,17
ENSG00000130653,1.137889911,2.92E-05,PNPLA7,patatin like phospholipase domain containing 7,9
ENSG00000112852,-1.004734127,2.92E-05,PCDHB2,protocadherin beta 2,5
ENSG00000103591,-1.104680531,2.95E-05,AAGAB,alpha and gamma adaptin binding protein,15
ENSG00000169021,-0.90920385,2.98E-05,UQCRFS1,"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1",19
ENSG00000150051,-1.248584537,3.04E-05,MKX,mohawk homeobox,10
ENSG00000155363,1.140837021,3.07E-05,MOV10,Mov10 RISC complex RNA helicase,1
ENSG00000135750,-0.872032014,3.09E-05,KCNK1,potassium two pore domain channel subfamily K member 1,1
ENSG00000121060,0.82890859,3.12E-05,TRIM25,tripartite motif containing 25,17
ENSG00000167613,1.808058672,3.18E-05,LAIR1,leukocyte associated immunoglobulin like receptor 1,19
ENSG00000109270,-1.064311669,3.18E-05,LAMTOR3,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 3",4
ENSG00000155659,2.607795337,3.20E-05,VSIG4,V-set and immunoglobulin domain containing 4,X
ENSG00000067182,1.46854474,3.20E-05,TNFRSF1A,TNF receptor superfamily member 1A,12
ENSG00000052802,-1.023903061,3.20E-05,MSMO1,methylsterol monooxygenase 1,4
ENSG00000143819,1.094370486,3.20E-05,EPHX1,epoxide hydrolase 1,1
ENSG00000168438,-1.108033397,3.24E-05,CDC40,cell division cycle 40,6
ENSG00000196950,-1.404549546,3.37E-05,SLC39A10,solute carrier family 39 member 10,2
ENSG00000101336,1.798642262,3.39E-05,HCK,"HCK proto-oncogene, Src family tyrosine kinase",20
ENSG00000004776,1.042499544,3.52E-05,HSPB6,heat shock protein family B (small) member 6,19
ENSG00000185650,1.117127285,3.52E-05,ZFP36L1,ZFP36 ring finger protein like 1,14
ENSG00000163820,1.039428621,3.52E-05,FYCO1,FYVE and coiled-coil domain containing 1,3
ENSG00000135077,1.40644526,3.53E-05,HAVCR2,hepatitis A virus cellular receptor 2,5
ENSG00000010327,2.023425981,3.54E-05,STAB1,stabilin 1,3
ENSG00000204592,0.991701052,3.54E-05,HLA-E,"major histocompatibility complex, class I, E",6
ENSG00000174348,1.446101143,3.55E-05,PODN,podocan,1
ENSG00000173372,2.380758106,3.57E-05,C1QA,complement C1q A chain,1
ENSG00000105355,1.338765597,3.59E-05,PLIN3,perilipin 3,19
ENSG00000155629,1.541967574,3.61E-05,PIK3AP1,phosphoinositide-3-kinase adaptor protein 1,10
ENSG00000106211,1.714678838,3.61E-05,HSPB1,heat shock protein family B (small) member 1,7
ENSG00000159423,1.33527771,3.61E-05,ALDH4A1,aldehyde dehydrogenase 4 family member A1,1
ENSG00000109670,-1.264283647,3.85E-05,FBXW7,F-box and WD repeat domain containing 7,4
ENSG00000162511,1.450393695,3.91E-05,LAPTM5,lysosomal protein transmembrane 5,1
ENSG00000138686,-1.062891882,3.96E-05,BBS7,Bardet-Biedl syndrome 7,4
ENSG00000119943,1.401129158,3.99E-05,PYROXD2,pyridine nucleotide-disulphide oxidoreductase domain 2,10
ENSG00000108561,-1.015985916,4.08E-05,C1QBP,complement C1q binding protein,17
ENSG00000115107,1.720918478,4.08E-05,STEAP3,STEAP3 metalloreductase,2
ENSG00000128271,2.120516436,4.17E-05,ADORA2A,adenosine A2a receptor,22
ENSG00000100365,1.918872778,4.17E-05,NCF4,neutrophil cytosolic factor 4,22
ENSG00000137834,1.676527499,4.17E-05,SMAD6,SMAD family member 6,15
ENSG00000198729,-0.982175436,4.17E-05,PPP1R14C,protein phosphatase 1 regulatory inhibitor subunit 14C,6
ENSG00000224531,-0.766185131,4.28E-05,SMIM13,small integral membrane protein 13,6
ENSG00000166579,-0.8442253,4.28E-05,NDEL1,nudE neurodevelopment protein 1 like 1,17
ENSG00000136167,1.678208297,4.28E-05,LCP1,lymphocyte cytosolic protein 1,13
ENSG00000180353,1.378860617,4.28E-05,HCLS1,hematopoietic cell-specific Lyn substrate 1,3
ENSG00000144730,0.955590797,4.34E-05,IL17RD,interleukin 17 receptor D,3
ENSG00000213064,0.998551667,4.42E-05,SFT2D2,SFT2 domain containing 2,1
ENSG00000137996,-0.918890321,4.45E-05,RTCA,RNA 3'-terminal phosphate cyclase,1
ENSG00000102401,-0.974074555,4.49E-05,ARMCX3,armadillo repeat containing X-linked 3,X
ENSG00000068650,0.989870957,4.53E-05,ATP11A,ATPase phospholipid transporting 11A,13
ENSG00000141068,1.056020684,4.63E-05,KSR1,kinase suppressor of ras 1,17
ENSG00000166411,-0.993615297,4.63E-05,IDH3A,isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha,15
ENSG00000177879,-1.219868385,4.63E-05,AP3S1,adaptor related protein complex 3 subunit sigma 1,5
ENSG00000099901,-0.898606047,4.69E-05,RANBP1,RAN binding protein 1,22
ENSG00000161847,1.153516408,4.81E-05,RAVER1,"ribonucleoprotein, PTB binding 1",19
ENSG00000010610,1.384156987,4.82E-05,CD4,CD4 molecule,12
ENSG00000129353,1.027980194,4.91E-05,SLC44A2,solute carrier family 44 member 2,19
ENSG00000105329,1.50246344,4.91E-05,TGFB1,transforming growth factor beta 1,19
ENSG00000168918,1.266198237,4.91E-05,INPP5D,inositol polyphosphate-5-phosphatase D,2
ENSG00000137496,1.164733281,4.94E-05,IL18BP,interleukin 18 binding protein,11
ENSG00000116030,-1.230787904,4.94E-05,SUMO1,small ubiquitin like modifier 1,2
ENSG00000177084,1.143672536,4.94E-05,POLE,"DNA polymerase epsilon, catalytic subunit",12
ENSG00000196715,-0.813197349,4.97E-05,VKORC1L1,vitamin K epoxide reductase complex subunit 1 like 1,7
ENSG00000126464,1.261840491,5.04E-05,PRR12,proline rich 12,19
ENSG00000196169,2.228033572,5.04E-05,KIF19,kinesin family member 19,17
ENSG00000173660,-1.085340747,5.04E-05,UQCRH,ubiquinol-cytochrome c reductase hinge protein,1
ENSG00000115956,1.291169053,5.10E-05,PLEK,pleckstrin,2
ENSG00000256762,1.513281568,5.12E-05,STH,saitohin,17
ENSG00000125089,1.889185506,5.13E-05,SH3TC1,SH3 domain and tetratricopeptide repeats 1,4
ENSG00000176438,1.353877931,5.18E-05,SYNE3,spectrin repeat containing nuclear envelope family member 3,14
ENSG00000169403,1.597830213,5.21E-05,PTAFR,platelet activating factor receptor,1
ENSG00000015285,1.568621625,5.43E-05,WAS,WASP actin nucleation promoting factor,X
ENSG00000183486,1.308662042,5.43E-05,MX2,MX dynamin like GTPase 2,21
ENSG00000111321,1.213021143,5.43E-05,LTBR,lymphotoxin beta receptor,12
ENSG00000110077,2.624867472,5.43E-05,MS4A6A,membrane spanning 4-domains A6A,11
ENSG00000165629,-1.045616888,5.43E-05,ATP5F1C,ATP synthase F1 subunit gamma,10
ENSG00000128394,1.317020765,5.46E-05,APOBEC3F,apolipoprotein B mRNA editing enzyme catalytic subunit 3F,22
ENSG00000019144,1.251893832,5.46E-05,PHLDB1,pleckstrin homology like domain family B member 1,11
ENSG00000137076,0.989841694,5.46E-05,TLN1,talin 1,9
